Defense #, RE, NT, LE, ROLB, RILB, LILB, LOLB, RCB, LCB, FS, SS
Defense: 8F,A704,A714,A723,A733,A743,A753,AB8C,A773,A783,A793,A7A3
Defense: 90,A29B,A2A5,A58C,A2B2,BDAA,A14B,A2E1,AD7C,ADC2,A38A,AD62
Defense: 91,A29B,A2A5,A58C,A2B2,BDAA,A14B,A2E1,AD7C,BDBE,AD6C,A39B
Defense: 92,A29B,A2A5,A58C,A2B2,BDAA,AAE0,ACE4,A36F,BDBE,AA83,AA04
Defense: 93,A110,A63C,A58C,A5A1,A648,A5B9,A2E1,AB93,BDBE,A38A,A39B
Defense: 94,A110,A63C,A58C,A5A1,A648,ABA4,ACCB,AB93,BDBE,AD6C,AD3A
Defense: 95,A110,A63C,A58C,A5A1,AD44,AD53,ACE4,A36F,BDBE,AA6B,AD3A
Defense: 96,BEBB,BEC8,BED2,BEDF,A481,A492,A4A3,ADBB,AD8F,BD35,AA04
Defense: 97,BEBB,BEC8,BED2,BEDF,ADDB,A492,ADE5,ADF9,AD8F,AD6C,AD3A
Defense: 98,BEBB,BEC8,BED2,BEDF,ADDB,AAE0,ADE5,AE0F,AE03,AA6B,AAA6
Defense: 99,AA11,AA1A,AA23,AE1B,AA35,AA3E,A9A9,AE24,A783,AE2D,A7A3
Defense: 9A,A110,A243,A32A,A4EC,A141,A24A,A3CA,AE36,ADC2,AE4C,AE58
Defense: 9B,A110,A243,A32A,AE64,A141,A24A,A3CA,AE36,AE8E,AE78,AE58
Defense: 9C,A110,A243,A32A,AE64,ADDB,AAE0,A3CA,A36F,AEA1,AA6B,BD8E
Defense: 9D,A110,A243,A58C,A5A1,A141,A5B9,A2E1,AB93,AE8E,A38A,AE58
Defense: 9E,A110,A243,A58C,A5A1,A141,ABA4,ACCB,AB93,AE8E,AD6C,AD3A
Defense: 9F,A110,A243,A58C,A5A1,AD44,AD53,ACE4,AB93,AE8E,AA6B,AD3A
Defense: A0,A110,A243,A6CD,A5A1,A6DA,A6E3,A579,AB93,AE8E,A38A,AE58
Defense: A1,A110,A243,A6CD,A5A1,A6DA,ABA4,ACCB,AB93,AE8E,AD6C,AEAA
Defense: A2,A110,A243,A6CD,A5A1,AD44,AD53,AEB4,AB93,A8EF,AA6B,AAA6
Defense: A3,A110,A243,A32A,BD48,ADA6,A14B,A2E1,ADBB,ADC2,BD35,BD27
Defense: A4,A110,A243,A32A,A695,ADA6,A14B,A6A4,ADBB,ADC2,A6B3,A6C0
Defense: A5,A110,A243,A32A,A695,ADA6,AAE0,A6A4,ADBB,ADC2,A6B3,A6C0
Defense: A6,A110,A11D,A12A,A550,A141,A14B,BDCC,ADBB,ADC2,BD35,BD27
Defense: A7,A110,A11D,A12A,A550,A141,A14B,BDCC,ABCD,ABE3,ABF9,AC16
Defense: A8,A110,A11D,A12A,A550,A141,A14B,A15B,AC33,A176,AC3D,AC47
Defense: A9,A110,A11D,A12A,BD19,A141,A14B,ADB4,ADBB,ADC2,BD35,AB21
Defense: AA,A110,A11D,A12A,A137,A141,A14B,ADB4,ABCD,ABE3,BD35,AC16
Defense: AB,A110,A11D,A12A,BD19,A141,A14B,AEBE,AEC8,AED2,AEDC,AEE6
Defense: AC,A110,A11D,A12A,A550,A141,A14B,BDCC,BD9C,ADC2,BD35,BD27
Defense: AD,A110,A11D,A12A,A550,A141,A14B,BDDA,ABCD,ABE3,ABF9,AC16
Defense: AE,A110,A11D,A12A,A550,A141,A14B,A15B,AEC8,AED2,AEDC,AEE6
Defense: AF,A546,BEC8,BED2,BEDF,A65F,A67A,BF03,ADBB,ADC2,BD35,BD27
Defense: B0,A546,BEC8,BED2,BEDF,A65F,A67A,BF03,AC9C,ACB0,BD80,BD8E
Defense: B1,A546,BEC8,BED2,AD04,A65F,A67A,AD19,AC9C,ACB0,BD80,BD8E
Defense: B2,A110,A243,A6F0,A5A1,A481,A492,A4A3,ADBB,AD8F,BD35,AA04
Defense: B3,A110,A243,A6F0,A5A1,ADDB,A492,ADE5,ADF9,AD8F,AD6C,AD3A
Defense: B4,A110,A243,A6F0,A5A1,ADDB,AAE0,ADE5,AE0F,AE03,AA6B,AAA6
Defense: B5,A19B,A1A7,A1B3,AEF0,AF01,AF16,A1ED,AF2B,AF3F,AF4D,AF95
Defense: B6,A19B,A1A7,A1B3,AF78,AF01,AF16,A1ED,AF66,AF3F,AF4D,AF95
Defense: B7,A19B,A1A7,A1B3,AFCD,AF01,AF16,A1ED,AF66,AFA6,AFB0,AFC0
Defense: B8,A546,BEC8,BED2,BEE5,AFD7,AFE8,BF09,AFF9,B00C,B01F,B042
Defense: B9,A546,BEC8,BED2,BEE5,AFD7,AFE8,BF09,B05E,B071,B01F,B042
Defense: BA,A546,BEC8,BED2,BEE5,B090,AFE8,BF09,B05E,B071,B09A,B0AA
Defense: BB,A704,A714,A723,A733,A743,A753,A763,B0B9,B0C3,B09A,B0AA
Defense: BC,A110,A243,A5C3,A5A1,A5D7,A5B9,A5F6,ADBB,B0CD,B0D8,B0E6
Defense: BD,A110,A243,A5C3,A5A1,A5D7,A5B9,B10A,ADBB,B0F4,B0D8,B0E6
Defense: BE,A110,A243,A5C3,A5A1,A5D7,A5B9,B127,B130,B0F4,B13A,B14D
Defense: BF,A29B,A243,BED2,A3D4,B15D,B16B,BF03,AFF9,B180,B1DD,B18E
Defense: C0,A29B,A243,BED2,A3D4,B15D,B1AC,BF03,B1C4,B1D1,B1DD,B18E
Defense: C1,A29B,A243,BED2,A3D4,B15D,B1F0,BF03,B1C4,B1D1,B1FA,B210
Defense: C2,A110,A3A7,A501,AEF0,AF01,A3C0,A1ED,AF2B,ADC2,AF4D,AF95
Defense: C3,A110,A3A7,A501,AF78,AF01,A3C0,A1ED,B220,ADC2,AF4D,AF95
Defense: C4,A110,A3A7,A501,AFCD,AF01,A3C0,A1ED,B220,B23F,AFB0,B252
Defense: C5,A110,A11D,A12A,A137,A141,A14B,BC4B,BC56,BC40,B262,B29B
Defense: C6,A110,A11D,A12A,A137,A141,A14B,BC4B,B27E,B28E,B262,B29B
Defense: C7,A110,A11D,A12A,A137,A141,A14B,BC4B,B27E,B28E,B2AF,B2BC
Defense: C8,BEBB,BEC8,BED2,BEDF,BC61,BC6C,BF03,B2D2,B00C,B2E5,B042
Defense: C9,BEBB,BEC8,BED2,BEDF,BC61,BC6C,BF03,B2F3,BC77,B2E5,B042
Defense: CA,BEBB,BEC8,BED2,BEDF,BC61,BC6C,BF03,B2F3,BC77,B30F,B31F
Defense: CB,A110,A11D,A12A,A550,A141,A14B,A655,BC56,B00C,B2E5,B335
Defense: CC,A110,A11D,A12A,A550,A141,A14B,A655,B343,BC77,B357,B335
Defense: CD,A110,A11D,A12A,A550,A141,A14B,A655,B343,BC77,B357,B364
Defense: CE,A29B,A2A5,A3FB,A2B2,A2BF,A14B,ADB4,B380,B00C,B393,B3A6
Defense: CF,A29B,A2A5,A3FB,A2B2,A2BF,A14B,ADB4,B3C2,B34D,B393,B3A6
Defense: D0,A29B,A2A5,A3FB,A2B2,A2BF,A14B,ADB4,B3C2,B34D,B3CF,B3E8
Defense: D1,A110,A243,A226,A236,A141,A24A,A254,B3F5,B413,B42E,B470
Defense: D2,A110,A243,A226,A236,A141,A24A,A254,B45C,B466,B42E,B470
Defense: D3,A110,A243,A226,A236,A141,A24A,A254,B45C,B466,B485,B48F
Defense: D4,BEBB,BEC8,BED2,BEE5,B4DA,B4EE,BF09,B499,B4A6,B4B3,B4C1
Defense: D5,BEBB,BEC8,BED2,BEE5,B4DA,B4EE,BF09,B504,B514,B4B3,B4C1
Defense: D6,BEBB,BEC8,BED2,BEE5,B521,B4EE,BF09,B504,B514,B531,B53B
Defense: D7,BEBB,BEC8,BED2,BEDF,BC81,BC6C,BF09,BC56,B00C,B545,B558
Defense: D8,BEBB,BEC8,BED2,BEDF,BC81,BC6C,BF09,B571,B57E,B545,B558
Defense: D9,BEBB,BEC8,BED2,BEDF,BC81,BC6C,BF09,B571,B57E,B591,B59E
Defense: DA,A704,A714,A723,A733,A743,A753,A763,B5AB,B5B2,B5B9,B5C0
Defense: DB,BEBB,BEC8,BED2,BEDF,B4DA,B617,BF09,B5C7,B5DB,B5EF,B601
Defense: DC,BEBB,BEC8,BED2,BEDF,B4DA,B617,BF09,B628,B644,B5EF,B601
Defense: DD,BEBB,BEC8,BED2,BEDF,B665,B617,BF09,B628,B644,B30F,B66F
Defense: DE,BEBB,BEC8,BED2,BEDF,BC81,B4EE,BF20,AFF9,BC40,B262,B682
Defense: DF,BEBB,BEC8,BED2,BEDF,BC81,B4EE,BF20,B690,B69A,B262,B682
Defense: E0,BEBB,BEC8,BED2,BEDF,BC81,B6AD,BF20,B690,B69A,B6B7,B6C7
Defense: E1,BEBB,BEC8,BED2,BEDF,AFD7,AFE8,BF03,BC56,BC40,B6D7,B6E7
Defense: E2,BEBB,BEC8,BED2,BEDF,AFD7,AFE8,BF03,BAB5,B6F5,B6D7,B6E7
Defense: E3,BEBB,BEC8,BED2,BEDF,AFD7,B6AD,BF03,BAB5,B6F5,B70A,B71C
Defense: E4,BEBB,BEC8,BED2,BEDF,BC81,B4EE,BF03,BC56,B00C,B72C,B8AF
Defense: E5,BEBB,BEC8,BED2,BEDF,BC81,B4EE,BF03,B27E,B34D,B72C,B8AF
Defense: E6,BEBB,BEC8,BED2,BEDF,BC81,B4EE,BF03,B27E,B34D,B2AF,B8AF
Defense: E7,A19B,A1A7,A1B3,B7A5,B739,B74A,A1ED,BC56,B761,B773,B78F
Defense: E8,A19B,A1A7,A1B3,B7A5,B739,B74A,A1ED,B571,B7B7,B773,B78F
Defense: E9,A19B,A1A7,A1B3,B7A5,B739,B74A,A1ED,B571,B7B7,B7C1,B7D1
Defense: EA,A29B,A2A5,A226,A2B2,A2BF,B4EE,B826,B380,B7E4,B393,B7FA
Defense: EB,A29B,A2A5,A226,A2B2,A2BF,B4EE,B826,B3C2,B816,B393,B7FA
Defense: EC,A29B,A2A5,A226,A2B2,A2BF,B4EE,B826,B3C2,B816,B3CF,B838
Defense: ED,BEBB,BEC8,BED2,BEE5,AFD7,BC6C,BF09,AFF9,BC40,B845,B042
Defense: EE,BEBB,BEC8,BED2,BEE5,AFD7,BC6C,BF09,B861,B876,B845,B042
Defense: EF,BEBB,BEC8,BED2,B886,AFD7,BC6C,BF09,B861,B876,B890,B8A2
Defense: F0,BEBB,BEC8,BED2,BEDF,BC81,B617,BF09,BC56,B00C,B262,B8AF
Defense: F1,BEBB,BEC8,BED2,BEDF,BC81,B617,BF09,B343,B8BD,B262,B8AF
Defense: F2,BEBB,BEC8,BED2,BEDF,BC81,B617,BF09,B343,B8BD,B8D3,B8DF
Defense: F3,A110,A11D,A12A,BC88,A141,A14B,A655,BC56,B90A,B8E9,B91D
Defense: F4,A110,A11D,A12A,BC88,A141,A14B,A655,B930,B9FA,B8E9,B91D
Defense: F5,A110,A11D,A12A,BC88,A141,A14B,A655,B930,B9FA,BA0D,BA1A
Defense: F6,A110,A3A7,A501,B7A5,B739,A3C0,A1ED,BC56,B761,B773,B78F
Defense: F7,A110,A3A7,A501,B7A5,B739,A3C0,A1ED,BA2F,B761,B773,B78F
Defense: F8,A110,A3A7,A501,B7A5,B739,A3C0,A1ED,BA2F,BA47,BA59,BA66
Defense: F9,BEBB,BEC8,BED2,BEDF,BC93,BC6C,BF03,BC56,B00C,B6D7,B8AF
Defense: FA,BEBB,BEC8,BED2,BEDF,BC93,BC6C,BF03,BA78,BA88,B6D7,B8AF
Defense: FB,BEBB,BEC8,BED2,BEDF,BC93,BC6C,BF03,BA78,BA88,BA98,BAA2
Defense: FC,BEBB,BEC8,BED2,BEDF,BC93,AFE8,BF20,BC56,BC40,B6D7,B601
Defense: FD,BEBB,BEC8,BED2,BEDF,BC93,AFE8,BF03,BAB5,BAC2,B6D7,B601
Manto man RILB,BFD0,BFD0,BFD0,BFD0,BFD0,BFD0,BFD0,BFD0,BFD0,BFD0,BFD0
