Play name,QB,HB,FB,WR1,WR2,TE,C,LG,RG,LT,RT
19, Handoff-HB,Off Guard Left,q,Boost-HP(10);Block-RCB;,SetToBlock;PassBlock,,q,q,q,q,q
1A,Delay Handoff-HB middle,Delay Handoff Middle,Block-RILB,Block-FS,Block-SS,Block-LILB,PassBlock,PassBlock,PassBlock,PassBlock,PassBlock
1B,Pitch-HB Left,Take Left Pitch; Fake Handoff WR1;,q,Move around;WaitForContact,Block-FS,q,PassBlock,PassBlock,PassBlock,PassBlock,PassBlock
1, Handoff-HB,Sweep Right,Block-SS,Block-FS,Block-LCB,Block-LOLB,q,WaitForContact,x,q,Block-LE
1C,Handoff-HB,Sweep Right,Block-SS,Block-FS,Block-LCB,Block-LOLB,q,q,q,q, Block-LE
0,Handoff-HB,Sweep Right,Block-SS,Block-FS,Block-LCB,Block-LOLB,q,WaitForContact, Block-LILB,q,Block-LE
2, Handoff-HB,Sweep Right,Block-RILB,Boost-HP(10);Block-FS,Block-SS,q,25%Block-LILB//DoNothing,Block-NT,Block-LE,q,Block-LOLB
1D,Handoff-HB,Sweep Right,Block-RILB,Boost-HP(10);Block-FS,ChopBlock-SS,,Block-LILB,Block-NT,Block-LE,q,Block-LOLB
3,Handoff-HB,Off Tackle Right,Block-LOLB,SetToBlock,Block-SS,Block-ROLB,q,q,31%Block-LILB//WaitForContact,,Block-LE
1E,Handoff-HB,Off Tackle Right,Block-LOLB,SetToBlock,56%ChopBlock-SS//Block-SS,Block-ROLB,q,q,q,q,Block-LE
1F,Handoff-HB,Sweep Right,Sweep Right Block,Block-RCB,Block-SS,q,q,q,q,q,Block-LOLB
4,WaitForContact,ShotgunTakeSnap,43%Block-FS//WaitForContact,43%Block-RCB//WaitForContact,43%Block-LCB//WaitForContact,43%Block-SS//WaitForContact,PassBlock,q,q,Block-RILB, Block-LILB
20,WaitForContact,ShotgunTakeSnap,Block-FS,Block-RCB,Block-LCB,Block-SS,PassBlock,q,q,Block-RILB, Block-LILB
5,Pitch-HB Right,Take Right Pitch, Block-RE,SetToBlock,31%ChopBlock-SS//Block-SS,Block-LOLB,31%Block-LILB//WaitForContact,56%WaitForContact//PassBlock,Pull Right; Block-LCB,Block-NT,Block-LE
22,Pitch-HB Right,Take Right Pitch, Block-RE,SetToBlock,31%ChopBlock-SS//Block-SS,Block-LOLB,Block-LILB,Pull right; Passblock,Pull Right; Block-LCB,Block-NT,Block-LE
7,Handoff-FB,MoveDown; WaitForContact,Take-Handoff; Run Left, Block-FS,Block-SS,Block-ROLB,q,q,WaitForContact,q,25%Block-LILB//WaitForContact
21,Handoff-FB,WaitForContact,Take-Handoff; Run Left,Boost-HP(10);//Block-FS,Block-SS,Boost-HP(10);Block-ROLB,,,Pull Left; Passblock,,Block-LILB
6,Handoff-FB,WaitForContact,Take-Handoff; Run Left, Block-FS,Block-SS,Boost-HP(10);Block-ROLB,,,Pull Left; Passblock,,25%Block-LILB//WaitForContact
8,Handoff-FB Left,Block LCB,Off Tackle Left,Block-RCB,63%Boost-HP(10);Block-ROLB//Block-ROLB,,,,q,q,31%Block-LILB//WaitForContact
24,Handoff-FB,Block LCB,Off Tackle Left,Boost-HP(10);Block-RCB,63%Boost-HP(10);Block-ROLB//Block-ROLB,,,,q,q,Block-LILB
9,Handoff-FB,Move Right; WaitForContact,Off Tackle Left,Block-FS,Block-SS,62%Boost-HP(10);Block-ROLB,,,q,q,31%Block-LILB//WaitForContact
26,Handoff-FB,Move Right; WaitForContact,Off Tackle Left,Boost-HP(10);Block-FS;,Block-SS,62%Boost-HP(10);Block-ROLB,,,q,q,Block-LILB
B,Pitch-FB left,Block-ROLB,Pitch Left, Block-FS, Block-SS,PassBlock,Block-RILB,q,WaitForContact,q,31%Block-LILB//WaitForContact
27,Pitch-FB left,Block-ROLB,Pitch Left,Boost-HP(10);Block-FS, Block-SS,PassBlock,Block-RILB,q,Pull Left; Passblock,q,Block-LILB
A,Pitch-FB left,Block-ROLB,Pitch Left, Block-FS, Block-SS,PassBlock,Block-RILB,q,Pull Left; Passblock,q,31%Block-LILB//WaitForContact
C,Pitch-HB left,Take Pitch Left;Handoff-WR1;Block-RCB ,Block-SS,TakeHandoff; ReverseLtoR,56%Block-LCB//Boost-HP(10);Block-LCB,31%Block-LOLB//PassBlock,PassBlock,PassBlock,PassBlock,PassBlock,31%Block-LILB//Passblock
23,Pitch-HB left,Take Pitch Left;Handoff-WR1;Block-RCB ,Block-SS,TakeHandoff; ReverseLtoR,56%Block-LCB//Boost-HP(10);Block-LCB,Block-LOLB,PassBlock,PassBlock,PassBlock,PassBlock,Block-LILB
D, Handoff-HB;Block-RCB;,TakeHandoff; SweepR; Handoff-WR2,Block-ROLB,Block-FS,TakeHandoff; ReverseRtoL,Block-LOLB,q,q,q,q,q
25, Handoff-HB;Block-RCB;,TakeHandoff; SweepR; Handoff-WR2,Block-ROLB,Boost-HP(10);Block-FS;,TakeHandoff; ReverseRtoL,Block-LOLB,q,q,Block-LILB,q,q
E,QB sweep Left,MoveAround; WaitForContact, Block-ROLB,Block-FS,??,Block-SS,q,Block-RILB,Block-RCB,q,31%Block-LILB//Passblock
2A,QB sweep Left,MoveAround; WaitForContact, Block-ROLB,Boost-HP(10);Block-FS,??,Block-SS,q,Block-RILB,Block-RCB,q,Block-LILB
2D,Pitch-FB Left,Passblock-middle,Take LeftPtitch,Boost-HP(10);Boost-HP(10);Block-ROLB;,??,Block-LILB,q,q,x,q,Block-RILB
F,Pitch-FB Left,Passblock-middle,Take LeftPtitch,Boost-HP(10);Boost-HP(10);Block-ROLB;,??,Block-LILB,q,q,x,q,Block-RILB
2E,QB Keeper middle,WaitForContact,56%Block ROLB//Block FS,Block-RCB,Block-LCB,56%Block-LOLB//Block-SS,q,q,Block-RILB,q,q
57,QB Keeper middle,WaitForContact,56%Block ROLB//Block FS,Block-RCB,Block-LCB,56%Block-LOLB//Block-SS,q,56% Block-NT//Block-RILB,Block-RILB,q,56%Block-LE//Block-LILB
29,Handoff-HB middle,Dive Middle,Run middle; Block,SetToBlock,PassBlock,Block-LOLB,q,q,q,q,q
28,Handoff-FB Middle,Decoy sweep right,Handoff middle,SetToBlock,Block-LOLB,Block-ROLB,q,q,q,q,q
2B,Handoff-FB Middle,Lead block middle,Handoff middle,SetToBlock,PassBlock,Block-LOLB,q,q,q,q,q
58,Shotgun Draw-FB-Pitch,Block-FS,Shotgun Draw,43%Block-RCB//WaitForContact,Block-LCB,43%Block-SS//WaitForContact,q,q,q,q,q
2C,Shotgun Draw-FB-Pitch,Block-FS,Shotgun Draw, Block-RCB,Block-LCB,q,q,q,q,q,q
59,Handoff-HB left,Take-Handoff; Handoff-WR1,Reverse LtoR,Reverse,Block-SS,Block-ROLB,q,q,WaitForContact,q,q
2F,Handoff-HB left,Take-Handoff; Handoff-WR1,Reverse LtoR,Reverse,Block-SS,Boost-HP(10);Block-ROLB,q,q,Passblock,q,q
