0xD4 , Take Snap (Under Center).
0xD5 , Take Snap (From Shotgun).
0xD6 , Take Snap (For Field Goal/Extra Point)
0xD7 , Move (Relative).  Hex that follow are Y and X coordinates.
0xD8 , Move (Absolute).  Hex that follow are Y and X coordinates.
0xD9 , Move (Absolute).  Hex that follow are Y and X coordinates.
0xDA , Pass Rush.
0xDB , Vertically mirror ball carrier
0xDD , Pass Rush.
0xDF , Computer takes control of player.
0xE0 , Boost RS.  Hex that follow is boost amount.
0xE1 , Boost MS.  Hex that follow is boost amount.
0xE2 , Boost RP.  Hex that follow is boost amount.
0xE3 , Boost MS.  Hex that follow is boost amount.
0xE4 , Player takes control of player.
0xE5 , Kickoff.
0xE6 , Punt.
0xE7 , Field Goal.
0xE8 , Extra Point.
0xEA , Take a 3-point stance.
0xEB , Shift.  Hex that follows is how long before shifting.
0xEC , Take a 2-point stance.
0xED , Motion.  Hex that follows is how long before motioning.
0xEE , Take a QB stance.
0xEF , Switch player icon to returner.
0xF0 , Face direction.  Hex that follows is the direction to turn to.
0xF3 , Pause.  Hex that follows is the amount to pause.
0xF4 , Pause.  Hex that follows is the amount to pause.
0xF5 , Pause.  Two hex follow and are the amount to pause.
0xF7 , Boost HP.  Hex that follow is boost amount.
0xFA ," Unknown but only is used for ""extra"" plays.",
0xFC , Unknown but appears to make the player solid.  Two hex follow.,
0xFD , Set to Pass Block a specific player.  Two hex follow to select the player to block by an unknown method.,
0xFE , Loop Forward or Backward.  Hex that follows is how many bytes to move forward or backward. [0x00 to 0x7F -> Forward 0 to 127 bytes (0 is the FE command) and 0x80 to 0xFF , Backward 1 to 128 bytes where 0xFF is back 1 (1 is the byte before the FE command)]
0xFF , Goto pointer.  Two hex follow: lo.byte and hi.byte.,

 ,,

,These commands are combined to create a sequence for the player no matter what is needed.,

-------------,,

Pointers:,,

,Initial Player Pointer (This goes to the first command for the player),

0x20 to 0x2F , Random Pointer (This may go to an alternative command set)

0x91 to 0x94 , Branch Pointer (This is to a E4 DF FE FF)

0xC7 , Computer Pointer (This will go to an command set for only computer-type players)

0xC8 , Computer Random Pointer (This may go to an alternative command set for computer-type players)

0xFF , Goto Pointer (This will go to another command set)
