QB2, steve BEUERLEIN, Face=0x10, #7,25,69,13,13,44,38,31,38,[2,4, 2 ]
QB2, stan HUMPHRIES, Face=0x5, #16,25,69,13,13,44,38,31,38,[2,3, 2 ]
QB2, tom TUPA, Face=0x21, #19,25,69,13,13,44,38,31,38,[2,2, 2 ]
QB2, babe LAUFENBERG, Face=0x1f, #15,25,69,13,13,44,38,31,38,[2,2, 2 ]
QB2, andre WARE, Face=0x92, #11,25,69,25,13,44,38,31,44,[4,3, 1 ]
QB2, anthony DILWEG, Face=0x8, #8,25,69,13,13,44,38,31,38,[2,2, 2 ]
QB2, jeff CARLSON, Face=0x42, #7,25,69,13,13,44,38,31,38,[2,2, 2 ]
QB2, chuck LONG, Face=0x15, #16,25,69,13,13,44,38,31,38,[2,3, 2 ]
QB2, rick STROM, Face=0x42, #11,25,69,13,13,44,38,25,38,[2,2, 2 ]
QB2, mark VLASIC, Face=0x31, #13,25,69,13,13,44,38,25,38,[2,1, 2 ]
QB2, jim MCMAHON, Face=0x1b, #9,25,69,6,13,38,38,38,38,[2,4, 3 ]
QB2, hugh MILLEN, Face=0x28, #7,25,69,13,13,38,38,31,38,[2,2, 2 ]
QB2, jack TRUDEAU, Face=0x3, #10,25,69,13,13,31,38,31,50,[2,2, 2 ]
QB2, rich GANNON, Face=0x22, #16,25,69,13,13,25,38,25,31,[4,3, 2 ]
QB1, b.j. TOLLIVER, Face=0x13, #11,25,69,13,13,81,31,31,44,[3,2, 2 ]
QB1, john ELWAY, Face=0xe, #7,25,69,25,13,75,31,69,50,[5,7, 1 ]
QB1, jay SCHROEDER, Face=0x11, #13,25,69,13,13,69,31,44,63,[2,5, 2 ]
QB1, jeff GEORGE, Face=0x4, #11,25,69,6,13,50,31,38,25,[1,4, 3 ]
QB2, cody CARLSON, Face=0x9, #14,25,69,13,13,44,31,38,44,[2,2, 2 ]
QB2, mike TOMCZAK, Face=0x1f, #18,25,69,13,13,44,31,31,38,[2,3, 2 ]
QB2, mike PAGEL, Face=0x46, #10,25,69,25,13,38,31,38,38,[2,2, 2 ]
QB2, jeff HOSTETLER, Face=0x19, #15,25,69,25,13,38,31,38,19,[5,4, 0 ]
QB1, bubby BRISTER, Face=0x1d, #6,25,69,13,13,75,25,56,38,[2,3, 2 ]
QB1, jim HARBAUGH, Face=0x1d, #4,25,69,13,13,44,25,56,25,[3,5, 2 ]
QB1, steve GROGAN, Face=0x7, #14,25,69,6,13,19,25,31,44,[1,3, 2 ]
# Offensive Skill players (non-QB):,,,,,,,,,,,,,,
